time_s,Kqv,Q0,V0
3255,2.83,127.95,230.52
3270,2.88,128.36,230.58
3285,2.75,128.93,230.53
3300,2.71,127.82,230.48
3315,2.74,127.78,230.51
3330,2.82,127.66,230.55
3345,2.82,127.09,230.56
3360,2.75,127.66,230.57
3375,2.75,127.62,230.54
3390,2.72,127.94,230.5
3405,2.77,128.07,230.53
3420,2.72,127.62,230.54
3435,2.75,127.89,230.56
3450,2.77,127.95,230.55
3465,2.76,127.6,230.48
3480,2.76,127.2,230.51
3495,2.74,127.71,230.51
3510,2.74,128.43,230.48
3525,2.75,128.61,230.57
3540,2.7,127.76,230.53
3555,2.68,127.59,230.48
3570,2.7,127.89,230.49
3585,2.82,127.44,230.55
3600,2.75,127.39,230.51
3615,2.7,128.24,230.48
3630,2.7,129.13,230.55
3645,2.77,128.96,230.57
3660,2.87,129.32,230.57
3675,2.78,128.91,230.55
3690,2.62,128.89,230.48
3705,2.81,128.97,230.5
3720,2.7,129.41,230.56
3735,2.78,128.53,230.56
3750,2.7,129.26,230.53
3765,2.86,128.97,230.5
3780,2.79,129.55,230.5
3795,2.69,129.11,230.51
3810,2.75,129.72,230.48
3825,2.68,129.47,230.51
3840,2.82,130,230.58
3855,2.69,128.42,230.56
3870,2.75,128.48,230.48
3885,2.76,128.71,230.51
3900,2.71,129.62,230.57
3915,2.67,129.58,230.56
3930,2.87,129.2,230.5
3945,2.67,129.12,230.48
3960,2.79,129.59,230.48
3975,2.8,129,230.53
3990,2.72,127.96,230.58
4005,2.73,128.17,230.51
4020,2.76,128.2,230.47
4035,2.78,128.05,230.47
4050,2.69,129.02,230.48
4065,2.67,129.11,230.48
4080,2.78,127.98,230.47
4095,2.81,128.62,230.48
4110,2.84,129.05,230.52
4125,2.66,129.25,230.56
4140,2.79,129.3,230.57
4155,2.84,128.84,230.58
4170,2.82,128.71,230.54
4185,2.62,128.88,230.5
4200,2.75,128.18,230.5
4215,2.78,128.62,230.52
4230,2.88,128.53,230.56
4245,2.83,128.76,230.54
4260,2.7,128.83,230.49
4275,2.7,128.3,230.48
4290,2.7,127.37,230.48
4305,2.76,127.31,230.48
4320,2.82,126.84,230.48
4335,2.85,127.23,230.55
4350,2.79,127.42,230.57
4365,2.81,127.03,230.51
