time_s,Kpv,P0,V0
3720,0,93.15,230.12
3735,0,93.37,230.16
3750,0,19.64,230.07
3765,0,65.83,230.13
3780,0,91.53,230.07
3795,0,452.41,230.18
3810,0,457.55,230.31
3825,0,239.88,230.17
3840,0,235.15,230.29
3855,0,232.85,230.34
3870,0,231.86,230.35
3885,0,230.98,230.33
3900,0,230.54,230.09
3915,0,226.62,230.1
3930,0,226.68,230.09
3945,0,226.18,230.17
3960,0,226.71,230.22
3975,0,225.72,230.12
3990,0,223.94,230.11
4005,0,225.03,230.01
4020,0,226.3,230.08
4035,0,227.25,230.35
4050,0,224.32,230.31
4065,0,19.84,230.14
4080,0,19.67,229.97
4095,0,8.95,229.97
4110,0,21.33,230.16
4125,0,33.32,230.07
4140,0,8.41,230.11
4155,0,8.84,230.12
4170,0,25.7,230.22
4185,0,9.62,230.45
4200,0,9.1,230.29
4215,0,31.22,230.18
4230,0,54.28,230.16
4245,0,8.49,230.22
4260,0,8.13,230.04
4275,0,34.16,230.06
4290,0,56.23,230.01
4305,0,8.98,230.02
