time_s,Kpv,P0,V0
0,NaN,513.58,230.86
15,0.16,519.03,230.33
30,0.13,522.49,230.42
45,0.13,521.96,230.49
60,0.13,519.01,230.4
75,0.15,519.65,230.36
90,0.14,529.62,230.37
105,0.14,536.33,230.48
120,0.14,541.42,230.43
135,0.13,545.48,230.36
150,0.13,549.33,230.36
165,0.13,549.63,230.47
180,0.14,549.02,230.43
195,0.13,551.15,230.46
210,0.14,550.75,230.43
225,0.12,571.5,230.36
240,0.14,572.61,230.43
255,0.13,571.71,230.41
270,0.15,572.13,230.45
285,0.14,571.84,230.35
300,0.13,571.64,230.49
315,0.13,573.96,230.35
330,0.14,572.86,230.49
345,0.12,571.67,230.37
360,0.14,573.23,230.41
375,0.13,571.06,230.49
390,0.13,571.63,230.37
405,0.14,572.28,230.37
420,0.13,572.71,230.48
435,0.14,569.61,230.41
450,0.15,571.49,230.4
465,0.12,567.95,230.46
480,0.14,571.44,230.36
495,0.14,567.25,230.47
510,0.11,571.61,230.39
525,0.15,566.51,230.42
540,0.13,567.89,230.42
555,0.13,566.95,230.37
570,0.15,566.03,230.37
585,0,563.88,230.39
600,0.12,564.04,230.38
615,0.14,563.8,230.39
630,0.13,563.73,230.37
645,0.14,565.52,230.36
660,0.14,562.98,230.37
675,0.13,563.21,230.37
690,0.16,564.09,230.39
705,0.15,562.54,230.47
720,0.11,562.42,230.5
735,0.16,563.67,230.41
750,0.13,561.05,230.37
765,0.14,560.94,230.46
780,0.13,559.16,230.51
795,0.12,559.31,230.51
810,0.13,559.41,230.51
825,0.15,556.93,230.48
840,0.14,557.51,230.46
855,0.13,556.09,230.42
870,0.14,558.71,230.37
885,0.13,557.6,230.41
900,0.14,555.97,230.37
915,0.13,554.97,230.48
930,0.13,555.32,230.44
945,0.14,554.13,230.43
960,0.13,554.52,230.39
975,0.13,551.81,230.51
990,0.14,555.95,230.39
1005,0.12,550.64,230.43
1020,0.14,553.53,230.5
1035,0.14,551.43,230.38
1050,0.12,549.78,230.52
1065,0.14,553.32,230.39
1080,0.14,548.73,230.48
1095,0.13,552.55,230.42
1110,0.15,550.43,230.42
1125,0,548.11,230.51
1140,0.14,550.61,230.42
1155,0.15,549.14,230.41
1170,0.13,547.72,230.52
1185,0.15,551.26,230.43
1200,0.16,549.95,230.38
1215,0.15,545.86,230.48
1230,0.18,549.29,230.51
1245,0.17,546.68,230.39
1260,0.14,548.05,230.4
1275,0.15,545.48,230.46
1290,0.14,544.77,230.51
1305,0.15,546.64,230.52
1320,0.17,546.12,230.51
1335,0.15,546.79,230.46
1350,0.2,546.93,230.44
1365,0.18,547.51,230.47
1380,0.16,545.07,230.42
1395,0.17,546.69,230.4
1410,0.16,543.14,230.39
1425,0.15,542.32,230.4
1440,0.19,543.64,230.43
1455,0.14,541.85,230.52
1470,0.16,543.26,230.49
1485,0.18,545.24,230.45
1500,0.16,542.34,230.39
1515,0.17,542.64,230.52
1530,0.18,542.44,230.46
1545,0.15,541.1,230.39
1560,0.17,541.27,230.49
1575,0.16,541.85,230.44
1590,0.14,539.14,230.45
1605,NaN,569.13,230.5
1620,0.65,980.79,230.42
1635,0.61,977.96,230.38
1650,0.64,975.27,230.42
1665,0.61,978.63,230.51
1680,0.62,978.64,230.45
1695,0.63,975.32,230.41
1710,0.63,978.12,230.51
1725,0.57,976.33,230.39
1740,0.64,974.56,230.51
1755,0.59,977.83,230.5
1770,0.63,974.74,230.48
1785,0.62,976.53,230.44
1800,0.62,973.05,230.38
1815,0.58,972.8,230.43
1830,0.55,974.46,230.52
1845,0.59,974.71,230.42
1860,0.58,973.13,230.38
1875,0.58,973.49,230.41
1890,0.6,970.04,230.5
1905,1.52,2878.52,230.63
1920,1.52,2869.97,230.62
1935,1.51,2871.01,230.61
1950,1.51,2866.8,230.62
1965,1.51,2867.03,230.58
1980,1.51,4294.03,230.55
1995,1.4,4335.89,230.58
2010,1.4,4334.85,230.59
2025,NaN,5073.2,230.53
2040,1.49,5068.9,230.52
2055,1.49,5062.38,230.47
2070,1.5,5061.01,230.56
2085,1.49,5058.7,230.53
2100,1.49,5058.94,230.47
2115,1.49,5059.41,230.56
2130,NaN,4328.9,230.55
2145,1.4,4329.41,230.51
2160,1.39,4327.97,230.5
2175,1.39,4333.87,230.55
2190,1.41,4334.3,230.6
2205,1.4,4331.05,230.54
2220,1.4,4333.3,230.49
2235,1.41,4327.18,230.49
2250,1.25,4318.66,230.5
2265,0.92,2429.54,230.39
2280,0.94,2427.16,230.39
2295,0.95,2425.04,230.45
2310,0.92,2425.69,230.48
2325,0.94,2429.69,230.49
2340,0.94,2423.92,230.43
2355,0.94,2425.22,230.37
2370,0.93,2423.3,230.46
2385,0.93,2423.3,230.48
2400,0.93,2419.91,230.41
2415,0.95,2428.23,230.37
2430,0.94,2418.93,230.38
2445,0.93,2418.31,230.48
2460,0.95,2425.23,230.46
2475,0.95,2418.95,230.4
2490,0.93,2416.49,230.35
2505,0.93,2415.81,230.35
2520,0.93,2417.54,230.45
2535,0.93,2415.26,230.45
2550,0.91,2420.49,230.41
2565,0.92,2414.04,230.39
