time_s,Kpv,P0,V0
3255,0.44,138.06,230.77
3270,0.32,126.7,230.85
3285,0.34,130.35,230.73
3300,0.32,132.87,230.65
3315,0.33,135.64,230.64
3330,0.32,136.74,230.65
3345,0.3,137.87,230.66
3360,0.3,136.19,230.67
3375,0.28,136.73,230.71
3390,0.31,137.16,230.94
3405,0.31,136.37,230.91
3420,0.33,137.46,230.65
3435,0.3,137.53,230.82
3450,0.3,137.11,230.98
3465,0.31,135.55,230.83
3480,0.31,135.22,230.7
3495,0.33,135.12,230.64
3510,0.33,135.47,230.78
3525,0.34,134.98,230.99
3540,0.3,134.47,230.94
3555,0.32,135.03,230.8
3570,0.34,134.4,230.68
3585,0.33,134.06,230.64
3600,0.35,133.58,230.74
3615,0.33,133,230.99
3630,0.34,132.48,230.92
3645,0.33,131.92,230.71
3660,0.31,133.24,230.71
3675,0.33,132.55,230.73
3690,0.33,132.13,230.67
3705,0.35,132.31,230.75
3720,0.33,130.39,230.95
3735,0.33,130.31,230.97
3750,0.34,131.12,230.82
3765,0.32,130.07,230.68
3780,0.32,132.04,230.65
