time_s,nqv,Q0,V0
3300,0.75,63.44,231.18
3315,0.7,63.55,231
3330,0.74,63.56,230.89
3345,0.62,62.75,231.12
3360,NaN,34.77,231.21
3375,NaN,39.08,230.93
3390,0,25.47,230.61
3405,0.35,52.09,230.81
3420,0.29,52.12,230.94
3435,0.33,51.78,230.93
3450,0.25,52.04,230.84
3465,0.34,52.15,230.78
3480,0.34,51.92,230.85
3495,0.4,52,230.94
3510,0.7,63.19,231.23
3525,0.77,63.05,231.17
3540,0.75,63.45,230.95
3555,0.79,63.22,230.9
3570,0.69,62.98,231.05
3585,0.7,62.74,231.25
3600,NaN,64.02,231.24
3615,0.61,63.76,231.22
3630,NaN,63.58,230.95
3645,0.76,63.54,230.91
3660,0.69,63.6,230.95
3675,NaN,52.51,230.69
3690,0,52.3,230.81
3705,0,24.99,230.82
3720,0,24.97,230.76
3735,0.29,52.22,230.86
3750,0.32,52.03,230.9
3765,0.4,52,230.9
3780,0.36,52.12,230.78
3795,0.36,52.6,230.65
3810,0.74,63.09,230.95
3825,0.73,62.95,230.9
3840,0.76,62.85,230.9
3855,0.79,62.55,230.97
3870,0.73,63.25,230.89
3885,0.73,62.89,231.01
3900,0.32,52.23,230.9
3915,0.25,51.93,230.9
3930,NaN,48.12,230.98
3945,0.19,52.73,230.92
3960,NaN,33.92,230.97
3975,0.32,52.15,230.86
3990,0.7,62.84,231.14
4005,0.84,62.91,231.03
4020,0.74,62.9,230.9
4035,0,34.43,231.03
4050,0,34.5,231.23
4065,NaN,58.63,231.27
4080,0.69,62.83,231.14
4095,NaN,67.24,230.88
4110,0.21,52.03,230.92
4125,0.31,51.5,230.91
4140,0.33,51.96,230.85
4155,0.35,52.23,230.73
4170,0.37,52.61,230.64
4185,NaN,76.49,230.97
4200,0.71,62.55,231.12
4215,0.76,62.22,231.15
4230,0.66,62.53,231.09
4245,0.69,62.34,231.21
4260,NaN,62.56,231.18
4275,0.57,63.79,231.14
4290,0.57,63.76,231.1
4305,NaN,52.95,230.71
4320,0.31,52.93,230.64
4335,0.36,52.82,230.65
4350,0.39,52.99,230.64
4365,NaN,41.74,230.67
4380,0,25.54,230.69
4395,0,35.02,231.14
4410,0.68,62.64,231.2
4425,0.71,62.62,231.2
4440,0.74,62.67,231.17
4455,0.67,62.6,231.2
4470,0.68,62.86,231.18
4485,0.7,63.06,231.04
4500,0.32,52.91,230.68
4515,0.31,52.07,230.78
4530,0.34,51.91,230.84
4545,0.29,52.1,230.72
4560,0.33,52.37,230.66
4575,0.35,52.66,230.66
4590,0.72,63.17,231.05
4605,0.64,64.46,230.99
4620,0.56,63.77,231.08
4635,0.69,62.79,231.19
4650,0.7,62.62,231.22
4665,0.69,62.38,231.16
4680,0.74,62.46,231.15
4695,0.67,62.38,231.14
4710,0,35.02,231.04
4725,0,34.77,231.1
4740,NaN,51.73,230.9
4755,0.35,51.64,230.89
4770,0.25,51.8,230.89
4785,0.3,51.86,230.84
4800,0.32,51.88,230.85
4815,0.32,51.45,230.9
4830,0.74,62.47,231.2
4845,0.67,62.38,231.12
4860,0.67,63.08,230.93
4875,0.72,62.78,231.08
4890,0.7,62.59,231.17
4905,NaN,62.19,231.25
4920,0.18,51.67,230.86
4935,NaN,53.29,230.73
4950,0.19,53.55,230.64
4965,NaN,50.08,230.92
4980,0.24,52.24,230.79
4995,NaN,51.95,230.49
5010,0.79,62.94,230.78
5025,0.75,62.62,230.88
5040,NaN,34.25,230.85
5055,0,34.81,230.81
5070,0.53,35.36,230.72
5085,0.72,62.99,230.7
5100,NaN,51.82,230.53
5115,0.28,51.93,230.46
5130,0.26,52.64,230.33
5145,0.32,52.74,230.38
5160,0.31,52.13,230.58
5175,0.34,51.77,230.51
5190,NaN,64.03,230.63
5205,0.74,63.27,230.75
5220,0.75,63.06,230.86
5235,0.7,62.67,230.9
5250,0.69,62.95,230.87
5265,NaN,40.43,230.89
5280,0.53,62.1,230.84
5295,NaN,59.64,230.75
5310,0.27,52.07,230.69
5325,0.27,51.79,230.7
5340,0.3,51.63,230.65
5355,0.27,51.91,230.53
5370,0.27,51.91,230.49
5385,0,25.56,230.53
5400,0,33.24,230.78
5415,0.72,61.41,230.79
5430,0.64,61.17,230.81
5445,0.7,60.56,230.97
5460,0.7,60.91,231.01
5475,0.72,61.13,230.94
5490,0.2,52.3,230.52
5505,0.3,52.38,230.47
5520,0.27,51.69,230.59
5535,0.28,51.46,230.74
5550,0.33,51.85,230.66
5565,0.32,51.84,230.62
5580,0.3,51.67,230.71
5595,0.3,51.48,230.73
5610,NaN,61.96,230.96
5625,0.76,61.72,230.92
5640,0.7,61.01,230.89
5655,0.68,62.1,231.25
5670,0.63,62.45,231.25
5685,0.27,52.13,230.79
5700,0.24,52.54,230.69
5715,0,24.86,230.9
5730,0,25.33,230.91
5745,0,34.84,230.76
5760,0.3,52.36,230.69
5775,0.28,62.21,231.17
5790,0.28,51.56,230.95
5805,0.29,52.32,230.73
5820,0.31,51.81,230.71
5835,0.28,51.82,230.77
5850,0.31,51.89,230.79
5865,0.26,51.83,230.74
5880,0.36,51.89,230.76
5895,0.29,51.4,230.95
5910,0.27,51.89,230.86
5925,0.32,52.36,230.69
5940,0.2,53.04,230.69
5955,0.2,52.96,230.7
5970,NaN,63.55,230.95
5985,0.72,62.76,231.01
6000,0.69,62.4,231.16
6015,0.71,62.24,231.14
6030,0.66,62.27,231.25
6045,NaN,62.59,231.17
6060,0,25.7,230.73
6075,0,25.27,230.79
6090,0.25,51.42,230.95
6105,0.26,51.81,230.89
6120,0.29,52.38,230.72
6135,0.24,51.91,230.73
6150,0.27,51.4,230.92
6165,0.25,51.81,230.87
6180,0.28,52.26,230.69
6195,0.29,51.66,230.82
6210,NaN,71.5,231.14
6225,0.68,62.05,231.23
6240,0.71,62.72,231.19
6255,0.72,62.31,231.23
6270,NaN,54.34,231.15
6285,0.48,64.07,230.91
6300,NaN,36.93,230.98
6315,NaN,51.45,230.83
6330,0.22,51.51,230.88
6345,0.27,51.58,230.87
6360,0.29,51.92,230.77
6375,0.25,51.81,230.74
6390,0,25.39,230.62
6405,0,24.85,230.7
6420,0,51.14,230.86
6435,0.27,51.3,230.88
6450,0.29,51.81,230.77
6465,0.31,52.12,230.62
6480,0.28,51.73,230.7
6495,0.28,51.39,230.88
6510,0.71,62.72,231.16
6525,0.72,63,230.97
6540,0.67,62.48,231.01
6555,0.69,62.21,231.17
6570,0.68,62.38,231.17
6585,0.68,62.16,231.09
6600,NaN,51.67,230.79
6615,0.12,52.8,230.92
6630,0.12,53.49,230.71
6645,0.27,52.01,230.72
6660,0.24,51.47,230.89
6675,0,29.08,230.93
6690,0,24.88,230.94
6705,0,27.18,230.7
6720,0.22,51.54,230.88
6735,0.31,52.01,230.92
6750,0.33,52.36,230.73
6765,0.33,52.2,230.7
6780,NaN,38.14,230.87
6795,0.23,51.41,230.95
6810,0.31,52,230.88
6825,0.34,52.29,230.7
6840,NaN,51.45,230.63
6855,NaN,40.26,230.72
6870,0.33,51.59,230.85
6885,0.29,51.92,230.78
6900,0.36,52.44,230.63
6915,NaN,36.2,230.71
6930,0,25.11,230.79
6945,NaN,36.79,230.92
6960,0.28,51.53,230.95
