time_s,npv,P0,npv,P0,V0
16830,,4266.15,,2771.04,230.41
16845,1.75,2051.27,1.12,554.17,230.51
16860,1.75,2053.23,1.12,554.35,230.47
16875,1.84,3284.7,1.73,1787.02,230.42
16890,1.84,3481.5,1.73,1986.2,230.5
16905,1.75,2052.64,1.11,555.28,230.62
16920,1.74,2054.54,1.11,556.85,230.49
16935,1.84,3284.29,1.73,1789.32,230.47
16950,1.81,4503.34,1.72,3007.76,230.45
16965,1.75,2050.26,1.11,554.21,230.62
16980,1.75,2053.57,1.11,555.2,230.53
16995,,3285.84,,1788.71,230.44
17010,,4505.66,,3010.44,230.45
17025,,2051.33,,552.71,230.48
17040,1.82,2049.72,1.37,553.11,230.57
17055,,3839.22,,2344.05,232.53
17070,,4072.88,,2580.21,232.01
17085,1.75,2015.05,1.1,520.28,230.57
17100,1.75,2015.05,1.1,521.29,230.47
17115,1.75,2009.29,1.1,517.43,230.49
17130,1.75,2009.34,1.1,518.44,230.57
17145,1.75,2012.7,1.1,520.95,230.45
17160,1.76,2013.37,1.1,519.54,230.58
17175,1.75,2016.43,1.09,521.96,230.45
17190,1.75,2011.28,1.09,519.64,230.53
17205,1.75,2013.28,1.08,521.42,230.53
17220,1.75,2012.33,1.08,518.59,230.51
17235,1.75,2013.19,1.09,518.49,230.55
17250,1.75,2013.43,1.1,519.89,230.57
17265,1.75,2013.44,1.09,521.34,230.45
17280,1.75,2010.58,1.08,519.16,230.54
17295,1.75,2012.29,1.08,521.26,230.49
17310,1.75,2009.75,1.09,518.59,230.48
17325,1.75,2012.9,1.09,519.48,230.57
17340,1.75,2012.88,1.09,520.35,230.45
17355,1.75,2010.73,1.09,518.86,230.5
17370,1.55,2010.48,0.31,519.12,230.57
17385,1.73,1767.11,0.33,275.27,230.59
17400,1.72,1768.85,0.3,275.56,230.59
17415,1.73,1769.08,0.34,275.55,230.53
17430,1.72,1768.13,0.32,275.52,230.51
17445,1.73,1765.89,0.35,274.89,230.45
17460,1.73,1765.43,0.33,273.37,230.54
17475,1.73,1768.86,0.34,274.46,230.59
17490,1.73,1768.83,0.33,274.68,230.57
17505,1.72,1766.8,0.29,273.35,230.59
17520,1.72,1765.06,0.31,272.95,230.52
17535,1.73,1765.69,0.34,275.05,230.45
17550,1.73,1766.15,0.35,275.14,230.55
17565,1.73,1765.84,0.34,273.66,230.58
17580,1.73,1768.77,0.32,274.49,230.48
17595,1.73,1767.05,0.33,275.4,230.5
17610,1.73,1766.85,0.32,272.87,230.58
17625,1.73,1767.5,0.33,275.19,230.47
17640,1.73,1763.45,0.33,272.81,230.53
17655,1.73,1768.52,0.34,275.86,230.48
17670,1.72,1767.47,0.3,273.76,230.58
17685,1.72,1769.31,0.32,275.44,230.51
17700,1.72,1766.17,0.3,273.52,230.47
17715,1.73,1766.3,0.32,273.3,230.59
17730,1.73,1766.46,0.34,274.75,230.45
17745,1.73,1761.73,0.35,270.38,230.57
17760,1.73,1763.91,0.35,273.51,230.53
17775,1.72,1763.42,0.31,272.88,230.45
17790,1.73,1763.96,0.33,270.51,230.54
17805,1.73,1765.87,0.33,272.47,230.56
17820,1.73,1764.36,0.33,273.34,230.48
17835,1.73,1761.91,0.35,271.55,230.47
17850,1.73,1761.77,0.34,270.81,230.58
17865,1.73,1765.33,0.33,272.79,230.56
17880,1.72,1767.32,0.32,273.99,230.5
17895,1.73,1766.0,0.34,272.65,230.46
17910,1.73,1765.21,0.34,271.53,230.46
17925,1.73,1761.64,0.34,271.04,230.51
17940,1.73,1761.46,0.35,270.63,230.56
17955,1.73,1765.06,0.34,272.27,230.58
17970,1.54,1982.0,0.2,489.22,230.6
17985,1.65,1869.69,0.32,377.84,230.48
18000,1.66,1858.07,0.34,367.56,230.5
18015,1.65,1871.18,0.34,372.74,230.51
18030,1.66,1867.65,0.35,371.27,230.53
18045,1.65,1869.99,0.35,374.79,230.45
18060,1.65,1871.8,0.33,375.68,230.56
18075,1.64,1871.7,0.3,376.33,230.48
18090,1.65,1873.03,0.33,378.4,230.52
18105,1.65,1871.64,0.32,376.6,230.55
18120,1.65,1876.22,0.33,378.85,230.44
18135,1.65,1878.4,0.33,380.22,230.55
18150,1.64,1873.33,0.31,378.61,230.56
18165,1.64,1877.41,0.3,380.06,230.47
18180,1.64,1879.44,0.3,381.66,230.44
18195,1.64,1876.41,0.32,381.77,230.46
18210,1.64,1880.03,0.31,384.15,230.45
18225,1.63,1879.69,0.27,381.39,230.45
18240,1.64,1874.42,0.27,378.54,230.45
18255,1.64,1871.17,0.28,376.59,230.45
18270,1.64,1872.19,0.27,374.29,230.46
18285,1.64,1867.8,0.28,370.89,230.45
18300,1.65,1860.44,0.28,365.68,230.5
18315,1.65,1858.71,0.28,363.35,230.58
18330,1.65,1858.78,0.29,361.39,230.58
18345,1.65,1857.88,0.3,360.1,230.5
18360,1.66,1855.84,0.29,357.81,230.46
18375,1.66,1853.19,0.29,354.58,230.57
18390,1.65,1854.16,0.28,355.67,230.49
18405,1.66,1848.27,0.3,351.51,230.51
18420,1.66,1846.12,0.3,350.95,230.59
18435,1.66,1846.29,0.3,350.03,230.47
18450,1.66,1844.48,0.3,346.41,230.54
18465,1.67,1846.78,0.31,348.19,230.5
18480,1.67,1844.86,0.35,346.18,230.47
18495,1.66,1850.87,0.31,353.09,230.59
18510,1.66,1854.38,0.32,356.74,230.46
18525,1.66,1853.04,0.31,357.05,230.55
18540,1.66,1853.88,0.32,358.8,230.58
18555,1.66,1856.75,0.32,360.18,230.53
18570,1.66,1857.41,0.33,360.02,230.47
18585,1.66,1858.99,0.32,360.96,230.45
18600,1.66,1846.99,0.29,350.02,230.46
18615,1.67,1831.04,0.26,335.27,230.47
18630,1.67,1830.22,0.27,335.11,230.5
18645,1.67,1831.38,0.26,334.27,230.55
18660,1.67,1833.44,0.27,334.55,230.52
18675,1.67,1833.25,0.27,335.57,230.49
18690,1.66,1830.52,0.25,335.23,230.47
18705,1.67,1832.48,0.27,335.11,230.49
18720,1.66,1834.26,0.25,336.58,230.46
18735,1.67,1832.56,0.28,337.58,230.48
18750,1.66,1833.09,0.27,337.51,230.51
18765,1.67,1832.63,0.28,336.58,230.56
18780,1.67,1834.12,0.27,335.74,230.58
18795,1.67,1831.79,0.26,334.66,230.58
18810,1.67,1829.42,0.26,334.2,230.54
18825,1.67,1833.51,0.27,334.89,230.47
18840,1.67,1831.46,0.26,334.85,230.47
18855,1.67,1828.55,0.27,333.37,230.51
18870,1.67,1825.59,0.27,332.92,230.52
18885,1.67,1829.19,0.26,334.43,230.47
18900,1.89,1627.28,0.84,133.52,230.43
18915,1.89,1626.07,0.82,134.2,230.5
18930,1.89,1623.63,0.81,132.73,230.57
18945,1.89,1623.03,0.84,131.28,230.57
18960,1.89,1625.05,0.82,131.22,230.57
18975,1.89,1625.35,0.82,130.88,230.57
18990,1.89,1622.76,0.82,131.13,230.56
19005,1.89,1622.85,0.81,131.0,230.5
19020,1.89,1624.97,0.82,131.23,230.52
19035,1.89,1625.76,0.81,131.06,230.56
19050,1.89,1623.3,0.85,129.77,230.53
19065,1.89,1622.14,0.82,130.04,230.51
19080,1.89,1623.94,0.82,132.51,230.54
19095,1.89,1622.89,0.82,131.87,230.44
19110,1.89,1621.1,0.82,129.94,230.56
19125,1.89,1625.65,0.82,132.22,230.49
19140,1.89,1622.55,0.82,130.02,230.48
19155,1.89,1622.52,0.87,130.65,230.58
19170,1.89,1623.83,0.85,132.47,230.48
19185,1.89,1622.12,0.83,130.28,230.5
19200,1.89,1623.27,0.82,129.97,230.57
19215,1.89,1624.91,0.82,131.38,230.55
19230,1.89,1624.65,0.83,132.04,230.46
19245,1.89,1620.87,0.85,129.88,230.47
19260,1.89,1622.87,0.83,130.81,230.57
19275,1.89,1625.9,0.82,131.49,230.44
19290,1.89,1624.03,0.86,129.89,230.58
19305,1.89,1625.1,0.86,131.65,230.46
19320,1.89,1621.44,0.85,129.33,230.49
19335,1.89,1620.18,0.85,129.54,230.56
19350,1.89,1622.98,0.85,131.97,230.47
19365,1.89,1621.84,0.83,129.65,230.49
19380,1.89,1625.11,0.84,130.83,230.56
19395,1.89,1622.28,0.77,130.63,230.45
19410,1.89,1623.32,0.79,129.35,230.58
19425,1.89,1624.06,0.77,131.74,230.46
19440,1.89,1619.55,0.8,128.92,230.51
19455,1.89,1622.4,0.8,129.74,230.58
