time_s,npv,P0,nqv,Q0,V0
1545,0.67,55.42,1.01,71.64,230.65
1560,0.77,55.66,1.35,71.76,230.63
1575,0.53,55.07,1.03,71.24,230.63
1590,0.7,55.71,1.26,71.88,230.63
1605,0.61,55.96,1.23,72.26,230.51
1620,0.62,57.07,1.09,72.99,230.31
1635,0.79,56.29,1.31,72.09,230.23
1650,0.64,56.51,1.08,72.25,230.21
1665,0.43,55.46,0.89,71.42,230.49
1680,0.6,55.73,1.2,71.91,230.57
1695,0.55,55.76,1.02,72.59,230.64
1710,0.63,55.22,1.15,71.53,230.59
1725,0.6,54.82,1.33,70.63,230.25
1740,0.53,55.78,1.02,71.6,230.43
1755,0.77,54.28,1.25,70.38,230.63
1770,0.65,54.43,1.27,70.15,230.27
1785,0.39,54.86,0.87,70.16,230.25
1800,0.81,55.42,1.39,71.42,230.47
1815,0.62,56.03,1.1,72.51,230.66
1830,0.5,53.9,1.11,70.19,230.6
1845,0.63,55.72,1.19,71.56,230.26
1860,0.51,54.72,0.94,70.21,230.33
1875,0.72,54.72,1.23,70.95,230.69
1890,0.67,53.98,1.29,70.07,230.52
1905,0.42,54.22,0.99,69.32,230.18
1920,0.71,54.35,1.34,69.95,230.42
1935,0.43,55.17,1.04,71.79,230.68
1950,0.83,54.0,1.27,70.33,230.63
1965,0.86,53.41,1.31,69.5,230.69
1980,0.42,53.36,1.0,69.64,230.64
1995,0.53,55.66,1.11,71.94,230.6
2010,0.62,53.2,1.34,69.13,230.66
2025,0.57,54.04,0.97,70.1,230.7
2040,0.79,53.15,1.4,69.34,230.7
2055,0.55,53.03,1.28,68.96,230.7
2070,0.61,53.81,1.04,70.38,230.69
2085,0.7,53.01,1.25,69.16,230.69
2100,0.63,53.52,1.23,69.65,230.7
2115,0.57,52.87,1.18,69.13,230.69
2130,0.8,55.31,1.33,71.33,230.59
2145,0.57,53.38,1.17,68.75,230.31
2160,0.62,53.45,1.13,68.94,230.19
2175,0.83,53.99,1.34,69.47,230.18
2190,0.65,55.45,1.19,71.04,230.35
2205,0.93,53.18,1.13,68.76,230.43
2220,0.73,53.7,1.08,69.72,230.67
2235,0.86,52.41,1.05,68.2,230.42
2250,0.92,52.73,1.27,68.44,230.29
2265,0.89,53.78,1.11,69.62,230.42
2280,0.89,52.23,1.24,68.39,230.63
2295,1.03,52.11,1.3,67.98,230.67
2310,0.74,52.06,1.1,67.87,230.57
2325,0.83,54.84,1.24,70.61,230.57
2340,1.01,52.84,1.23,68.38,230.26
2355,0.88,54.45,1.14,70.16,230.1
2370,1.1,52.69,1.49,68.28,230.07
2385,0.64,53.04,0.99,68.74,230.13
2400,0.84,54.55,1.13,69.56,230.09
2415,0.85,53.19,1.16,68.58,230.08
2430,0.64,54.42,0.98,69.91,230.19
2445,1.08,52.72,1.27,68.16,230.19
2460,0.83,52.62,1.09,67.74,230.08
2475,0.78,53.14,1.1,68.8,230.27
2490,0.97,52.52,1.21,68.66,230.63
2505,0.57,52.38,1.12,67.69,230.16
2520,0.85,54.0,0.95,70.24,230.69
2535,0.92,53.61,1.32,69.01,230.27
2550,0.91,52.26,1.2,67.77,230.18
2565,0.87,51.93,1.11,67.57,230.35
2580,0.99,53.03,1.13,69.06,230.68
2595,0.8,51.77,1.1,67.55,230.63
2610,0.87,52.3,1.13,67.82,230.38
2625,1.14,53.66,1.46,69.17,230.19
2640,0.94,51.49,1.28,67.5,230.69
2655,1.07,52.05,1.41,67.53,230.36
2670,0.87,53.3,1.1,68.54,230.16
2685,0.89,51.75,1.28,67.2,230.24
2700,0.93,52.07,1.35,67.81,230.29
2715,0.78,52.01,1.12,68.11,230.59
2730,1.14,51.32,1.44,67.02,230.65
2745,0.97,51.72,1.32,67.08,230.3
2760,0.76,51.63,0.96,66.99,230.16
2775,1.11,51.34,1.44,66.98,230.22
2790,0.79,51.1,1.15,66.64,230.28
2805,1.06,51.0,1.3,66.4,230.26
2820,0.87,50.79,1.17,66.76,230.54
2835,0.98,52.96,1.25,69.09,230.71
2850,1.05,51.07,1.36,66.83,230.58
2865,0.85,51.31,1.02,66.63,230.25
2880,1.2,52.74,1.22,68.17,230.21
2895,1.58,51.01,1.43,66.8,230.65
2910,1.25,50.76,1.28,66.73,230.69
2925,0.98,52.4,1.21,68.35,230.48
2940,1.1,51.17,1.28,66.65,230.27
2955,1.15,52.83,1.33,68.28,230.17
2970,0.94,51.02,1.16,66.49,230.16
2985,1.37,52.76,1.48,68.22,230.17
3000,1.0,51.12,0.99,66.34,230.07
3015,1.27,51.75,1.35,67.29,230.07
3030,1.11,50.69,1.12,66.45,230.18
3045,1.02,50.37,1.11,66.41,230.45
3060,1.3,52.4,1.49,68.64,230.5
3075,0.83,50.25,1.06,66.95,230.6
3090,1.13,50.74,1.23,66.88,230.53
3105,1.51,52.16,1.58,68.07,230.42
3120,0.84,50.57,1.05,66.66,230.52
3135,1.35,52.33,1.41,68.26,230.61
3150,1.25,50.26,1.31,66.57,230.58
3165,0.95,51.39,1.11,67.3,230.4
3180,1.42,50.67,1.21,66.32,230.1
3195,1.05,50.2,1.08,66.0,230.22
3210,1.09,49.95,1.3,66.01,230.42
3225,0.85,50.39,1.17,66.27,230.56
3240,0.66,50.79,1.25,66.24,230.08
3255,0.65,50.29,0.97,65.84,230.16
3270,1.05,51.92,1.29,68.01,230.45
