time_s,Kpv,P0,V0
3105,1.97,2088.36,231.2
3120,1.97,173,230.69
3135,1.97,173.21,230.66
3150,1.97,175.04,230.78
3165,1.56,174.34,230.88
3180,1.56,173.42,230.86
3195,1.56,173.88,230.6
3210,1.93,2092.03,230.89
3225,1.96,2089.03,231.01
3240,1.94,2090.73,231.2
3255,1.94,2089.08,231.22
3270,1.96,2066.4,231.14
3285,1.95,2065.61,231.24
3300,1.93,2084.22,231.18
3315,1.95,2084.21,231
3330,1.94,2083.58,230.89
3345,1.98,2086.46,231.12
3360,1.94,2101.55,231.19
3375,NaN,1588.75,232.54
3390,1.1,188.85,230.61
3405,1.41,174.23,230.81
3420,1.39,173.63,230.94
3435,1.43,175.88,230.93
3450,1.51,174.9,230.84
3465,1.55,174.96,230.78
3480,1.51,176.47,230.85
3495,1.51,173.46,230.94
3510,1.95,2103.94,231.23
3525,1.94,2089.28,231.17
3540,1.93,2086.27,230.95
3555,1.91,2083.8,230.9
3570,1.95,2086.66,231.05
3585,1.94,2089.15,231.25
3600,1.95,2062.33,231.25
3615,1.97,2064.28,231.22
3630,1.93,2067.4,230.96
3645,1.95,2082.45,230.91
3660,1.97,2081.41,230.95
3675,NaN,172.43,230.69
3690,1.57,171.99,230.81
3705,1.57,187.62,230.82
3720,1.54,187.42,230.76
3735,1.35,173.61,230.86
3750,1.35,173.46,230.9
3765,1.39,173.82,230.9
3780,1.36,173.99,230.78
3795,1.36,172.55,230.65
3810,1.93,2091.62,230.95
3825,1.94,2086.05,230.9
3840,1.93,2085.57,230.9
3855,1.91,2084.88,230.97
3870,1.95,2082.86,230.89
3885,1.95,2083.89,231.01
3900,1.48,173.45,230.9
3915,1.65,171.19,230.9
3930,NaN,238.87,230.98
3945,1.28,168.16,230.92
3960,NaN,151.99,230.97
3975,NaN,173.4,230.86
3990,1.95,2094.99,231.11
4005,1.91,2088.4,231.03
4020,1.94,2085.37,230.9
4035,1.95,2102.56,231.04
4050,1.96,2103.64,231.23
4065,1.94,2089.74,231.25
4080,1.93,2083.91,231.14
4095,NaN,349.38,230.88
4110,NaN,172.22,230.92
4125,NaN,171.9,230.91
4140,1.32,173.28,230.85
4155,1.32,172.55,230.73
4170,1.32,173.68,230.64
4185,NaN,2118.77,230.97
4200,1.94,2090.53,231.12
4215,1.93,2088.37,231.15
4230,1.93,2087.7,231.09
4245,1.94,2086.98,231.21
4260,1.86,2086.03,231.15
4275,1.92,2062.42,231.14
4290,1.99,2063.54,231.1
4305,NaN,172.53,230.69
4320,1.54,173.32,230.64
4335,1.54,172.76,230.65
4350,1.54,170.9,230.64
4365,1.42,181.4,230.65
4380,1.41,189.76,230.69
4395,NaN,2146.45,231.17
4410,1.95,2091.65,231.2
4425,1.95,2090.03,231.2
4440,1.94,2088.22,231.17
4455,1.94,2086.7,231.2
4470,1.95,2085.23,231.18
4485,1.94,2082.7,231.04
4500,1.36,171.98,230.68
4515,1.62,173.54,230.78
4530,1.31,173.51,230.84
4545,1.3,173.77,230.72
4560,1.58,173.44,230.66
4575,1.15,173.86,230.66
4590,1.95,2112.63,231.05
4605,1.95,2063.92,230.96
4620,1.94,2065.03,231.08
4635,1.92,2081.61,231.2
4650,1.92,2087.15,231.22
4665,1.95,2085.01,231.16
4680,1.93,2085.2,231.15
4695,1.93,2084.03,231.14
4710,1.95,2097.52,231.04
4725,1.95,2098.65,231.1
4740,1.32,172.04,230.88
4755,1.56,171.62,230.89
4770,1.26,173.96,230.89
4785,1.51,173.86,230.84
4800,1.24,172.95,230.85
4815,1.24,172.77,230.9
4830,1.91,2092.39,231.2
4845,1.94,2088.16,231.12
4860,1.97,2082.55,230.93
4875,1.93,2084.88,231.08
4890,1.93,2085.91,231.17
4905,NaN,1556.54,231.94
4920,1.28,171.75,230.86
4935,NaN,168.49,230.73
4950,1.29,165.99,230.64
4965,NaN,192.1,230.92
4980,1.24,172.76,230.79
4995,NaN,746.48,230.64
5010,1.94,2086.56,230.78
5025,1.92,2083.68,230.88
5040,1.93,2099.93,230.86
5055,1.94,2096.57,230.81
5070,1.94,2095.05,230.72
5085,1.95,2078.61,230.7
5100,NaN,172.08,230.53
5115,1.35,172.17,230.46
5130,1.49,172.27,230.33
5145,1.38,170.91,230.38
5160,1.35,172.41,230.58
5175,1.35,172.36,230.51
5190,NaN,2172.25,230.64
5205,1.94,2084.15,230.75
5220,1.93,2084.37,230.86
5235,1.96,2082.37,230.9
5250,1.91,2081.87,230.87
5265,1.93,2027.08,230.91
5280,1.93,2058.11,230.84
5295,1.93,2036.91,230.77
5310,1.28,170.53,230.69
5325,1.5,171.85,230.7
5340,1.41,171.63,230.65
5355,1.44,172.23,230.53
5370,1.33,172.63,230.49
5385,1.33,188.54,230.53
5400,1.96,2106.38,230.78
5415,1.93,2083.85,230.79
5430,1.93,2082.59,230.81
5445,1.94,2083.77,230.97
5460,1.93,2082.09,231.01
5475,1.93,2079.97,230.94
5490,1.44,170.83,230.54
5505,1.36,172.54,230.47
5520,1.49,172.59,230.59
5535,1.37,172.78,230.74
5550,1.39,172.4,230.66
5565,1.5,172.32,230.62
5580,1.28,172.03,230.71
5595,1.28,172.09,230.73
5610,NaN,2123.26,230.96
5625,1.96,2063.19,230.92
5640,1.95,2082.11,230.92
5655,1.95,2088.62,231.25
5670,1.95,2087.24,231.25
5685,1.36,170.62,230.8
5700,1.48,171.75,230.69
5715,1.49,188.66,230.92
5730,1.64,188.26,230.91
5745,1.25,182.23,230.76
5760,1.46,172.67,230.69
5775,NaN,2119.67,231.17
5790,1.2,172.28,230.95
5805,1.39,173.79,230.73
5820,1.27,173.63,230.71
5835,1.23,173.11,230.77
5850,1.28,174.2,230.79
5865,1.4,173.37,230.74
5880,1.29,174.38,230.76
5895,1.39,174.8,230.95
5910,1.44,173.72,230.86
5925,1.37,174.18,230.69
5940,1.56,168.73,230.69
5955,1.56,167.77,230.7
5970,1.93,2079.94,230.96
5985,1.94,2088.68,231.01
6000,1.93,2089.13,231.16
6015,1.93,2087.12,231.14
6030,1.95,2087.82,231.25
6045,1.95,2085.67,231.18
6060,1.44,187.1,230.73
6075,1.5,186.74,230.79
6090,1.22,171.95,230.95
6105,1.43,172.8,230.89
6120,1.57,172.41,230.72
6135,1.51,172.82,230.73
6150,1.42,173.79,230.92
6165,1.56,172.6,230.87
6180,1.35,173.7,230.69
6195,1.4,174.05,230.82
6210,NaN,2133.61,231.16
6225,1.93,2091.46,231.23
6240,1.94,2090.29,231.19
6255,1.94,2088.94,231.23
6270,1.94,2108.36,231.16
6285,1.95,2058.82,230.91
6300,1.95,2041.05,230.99
6315,NaN,171.68,230.83
6330,1.55,171.69,230.88
6345,1.37,170.78,230.87
6360,1.24,171.76,230.77
6375,1.45,171.49,230.74
6390,1.29,188.15,230.64
6405,1.54,189.34,230.7
6420,1.29,172.62,230.86
6435,1.29,172.7,230.88
6450,1.26,172.47,230.77
6465,1.5,172.14,230.62
6480,1.26,173.9,230.7
6495,1.26,173.52,230.88
6510,1.93,2098.04,231.16
6525,1.94,2087,230.97
6540,1.95,2086.18,231.01
6555,1.93,2087.4,231.17
6570,1.93,2086.06,231.17
6585,1.93,2084.12,231.09
6600,NaN,172.41,230.79
6615,1.47,165.89,230.92
6630,1.47,165.39,230.71
6645,1.32,173.12,230.72
6660,1.29,172.48,230.89
6675,1.4,186.9,230.95
6690,1.4,188.51,230.94
6705,1.53,179.35,230.7
6720,1.42,173.25,230.88
6735,1.42,172.99,230.92
6750,1.39,172.94,230.73
6765,1.39,173.21,230.7
6780,NaN,103.88,230.87
6795,1.39,172.72,230.95
6810,1.4,173.43,230.88
6825,1.34,172.89,230.7
6840,NaN,171.08,230.63
6855,NaN,218.26,230.72
6870,1.15,174.17,230.85
6885,1.48,172.63,230.78
6900,1.39,174.06,230.63
6915,NaN,127.86,230.71
6930,NaN,189.99,230.79
6945,1.35,183.04,230.92
6960,1.43,173.49,230.95
