time_s,npv,P0,V0
3255,0.32,925.7,230.44
3270,0.3,924.23,230.45
3285,0.31,925.77,230.53
3300,0.32,925.88,230.45
3315,0.3,925.29,230.51
3330,0.32,926.56,230.49
3345,0.3,925.72,230.45
3360,0.33,927.49,230.54
3375,0.3,925.91,230.5
3390,0.3,927.69,230.46
3405,0.31,926.33,230.45
3420,0.31,928.95,230.45
3435,0.3,926.33,230.52
3450,0.3,928.85,230.53
3465,0.34,926.3,230.48
3480,0.48,840.51,230.48
3495,0.54,795.74,230.49
3510,0.55,776.48,230.5
3525,0.56,767.22,230.52
3540,0.56,763.83,230.54
3555,0.59,759.26,230.46
3570,0.55,758.12,230.52
3585,0.55,755.65,230.53
3600,1.72,53.3,230.55
3615,1.72,51.28,230.6
3630,1.73,53.18,230.56
3645,1.73,50.97,230.58
3660,1.72,53.24,230.57
3675,1.73,50.83,230.59
3690,1.73,53.26,230.57
3705,1.72,50.93,230.55
3720,1.73,53.15,230.6
3735,1.72,51,230.55
3750,1.72,53.12,230.59
3765,1.71,51.1,230.57
3780,1.72,53.05,230.59
3795,1.72,51.35,230.55
3810,1.72,52.82,230.58
3825,1.72,51.41,230.6
3840,1.72,52.9,230.55
3855,1.72,51.67,230.54
3870,1.72,52.69,230.55
3885,1.72,51.82,230.54
3900,1.73,52.68,230.55
3915,1.72,52.01,230.55
3930,1.72,52.57,230.56
3945,1.72,52.14,230.56
3960,1.72,52.41,230.54
3975,1.72,52.09,230.57
3990,1.72,52.12,230.59
4005,1.73,52.22,230.6
4020,1.71,52.1,230.59
4035,1.72,52.48,230.58
4050,1.72,52.02,230.58
4065,1.73,52.62,230.58
4080,1.73,51.92,230.56
4095,1.71,52.77,230.55
4110,1.72,51.78,230.55
4125,1.72,52.84,230.58
4140,1.73,51.45,230.6
4155,1.72,52.79,230.59
4170,1.73,51.38,230.55
4185,1.72,53.05,230.55
4200,1.72,51.29,230.55
