time_s,Kqv,Q0,V0
0,3.26,501.5,230.5
15,3.26,496.07,230.57
30,3.17,491.31,230.52
45,3.21,484.67,230.53
60,3.13,482.15,230.65
75,3.15,474.84,230.58
90,3.04,469.27,230.41
105,3.17,463.46,230.29
120,2.95,459.3,230.37
135,3.12,453.69,230.39
